TRANSCRIPTION,EMOTION
" No, I'm just like you.  I thought it was going to be all peaches and roses and wind in our hair and sand in our toes and the fish will always come and the bills will always pay themselves.",xxx
" And we'll have three fat rosy kids and ha, ha, ha, baby, the joke's on us, 'cause you know what you get, Carla?  You know what you get?  This.",ang
" Yes, it is.",fru
 Right.,fru
" No, I know, me neither.",ang
 I'm doing the best I can.,fru
" Maybe if you were with somebody else, too, huh?",xxx
" No, I know.  But still.  I know I don't make you happy.",sad
 Yeah?,sur
" Actually, now that you mention it, no.  I don't.",hap
" I don't know.  It seemed like a good spot to me.  I mean, look at the view you've got of the moon from here.",hap
" Shh.  If we're very quiet, the fish might come.",hap
 Or not.,xxx
 Do you think it's them?,xxx
" Nobody knows we're here, except Freda and she wouldn't ring up.",fea
 What are we to do?,fea
 Now and always sweet.,xxx
 It was bound to come sooner or later.,xxx
" Oh, it sent shivers up my spine.",exc
 Behave exquisitely.,exc
 Certainly.  I shall probably do a court curtsey.,exc
 But what's so horrible is that one can't stay happy.,exc
 It's true.  The whole business is a very poor joke.,exc
" Yes, meaning just that.",xxx
 Don't laugh at me.  I'm serious.,xxx
 Who's they?,exc
" If I laugh at everything, I must laugh at us, too.",neu
" How long will it last, this ludicrous and overbearing love of ours?",exc
 Shall we always want to bicker and fight?,exc
" Oh, dear.  Should we like that.",xxx
" What happens if one of us dies?  Does the one that's left, still laugh?",exc
" Well that's serious enough, isn't it?",exc
" Darling, I believe you're talking nonsense.",xxx
" Elliot, worms don't pop.",xxx
" Thank you, dear.  The same applies to you, except that if I catch you so much as looking at another woman, I will kill you.",exc
 Which particular one?,exc
" Oh, Charles; that was his name, Charles.  Oh, he did wriggle so beautifully.",exc
 I know you did.  You threw it out of the window into the Grand Canal.  I don't think I'll ever forgive you for that.,exc
 It went on intermittently for days.,exc
" It burnt my comb, too, and all the towels in the bathroom.",exc
 That was the first time you ever hit me.,exc
" The manager came in and found is rolling about on the floor, biting and scratching like panthers.  Oh, dear.",exc
" How ridiculous. How utterly, utterly ridiculous.",exc
 And very much sillier.,exc
 Good God.,fea
 I wonder.,fea
" It must be them, then.",fea
" We'll be alright, darling.  Whatever happens, aren't we?",neu
" I don't care, then.",exc
" Hello, hello.  What?  Wrong number.",xxx
 What shall we do if they suddenly walk in on us?,exc
 With the mo- with the most perfect poise?,exc
" Ah.  Things that ought to matter dreadfully don't matter when one's happy, do they?",xxx
" Don't say that, darling.",xxx
" Meaning that sacred and beautiful thing, love?",neu
" What does it all mean?  That's what I ask myself in my ceaseless quest for ultimate truth.  Dear God, what does it all mean?",xxx
" You mustn't be serious, my dear.  That's just what they want.",neu
 All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.  Flippancy brings out the acid- acid in their damn sweetness and light.,ang
 Certainly you must.  We're figures of fun alright.,xxx
 Who knows.,xxx
 No.  That fire will fade along with our passion.,sad
 It all depends on how well we've played.,xxx
" Yes.  Yes, with all his might.",xxx
" No, no, it isn't.  Death's very laughable; such a cunning little mystery, all done with mirrors.",xxx
" So is everyone else in the long run.  Let's be superficial and pity the poor philosophers.  Let's blow trumpets and squeakers and- and enjoy the party as much as we can, like very small, quite idiotic little school children.",xxx
" Let's savor the delight of the moment.  Come and kiss me, darling, before your body rots and worms pop in and out of your eye sockets.",exc
" I don't mind what you do, see?  You can paint yourself bright green all over and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word as long as you love me best.",xxx
 Do you remember that awful scene we had in Venice?,xxx
 The one when you bought that little painted wooded snake and put it on my bed?,xxx
 Horrible thing.  I hated it.,ang
 How long did that row last?,xxx
 The worst one was in Cannes when your curling irons burnt holes in my dressing gown.,xxx
 Line?,neu
 How -- that was a rouser wasn't it?,exc
 I didn't hit you very hard.,xxx
" Ah, I shall never forget his face.",xxx
 Yes.  We were very much younger then.,xxx
" As a matter of fact, the real cause of that row was Peter Burden.",neu
 That was the first time you ever hit me.,ang
" The manager came in and found us rolling about on the floor, biting and scratching like panthers.  Oh, dear.",hap
" How ridiculous.  How utterly, utterly ridiculous.",hap
 And very much sillier.,hap
 You knew there was nothing in that.,xxx
 Presents?  A trivial little brooch.,xxx
 Not at all.  It was very pretty.  I still have it and I wear it often.,exc
 I did not.  You made the whole thing up in your jealous imagination.,xxx
" Just a little, perhaps, nothing serious.",hap
 Let him kiss you.,neu
 What of it?,ang
 It gave him a lot of pleasure and it didn't hurt me.,xxx
" If you hadn't been so nosey, you never would have known a thing about it.",fru
" Oh, dear.  I'm bored with this conversation.",fru
" No, thanks.",ang
 I don't see why you want it.  You've already had two glasses.,fru
 It seems so silly to go on and on and on with such a thing.,fru
 It's become a habit with you.,ang
" Oh, don't be so stupid.",fru
 What?,ang
" No, just making myself fascinating for you",fru
" The woman's job is to allure the man.  Watch me a minute, will you?",xxx
" Oh, no, it isn't.",ang
" Oh, be quiet.",ang
 It's a pity you didn't- It's a pity you didn't have more brandy.,neu
 It doesn't seem to have worked such wonders with you.,fru
" Adders don't snap, they sting.",ang
 They sting.,fru
 I don't care.  Do you understand?  I don't care.  I don't mind if they bark and roll about like hoops.,ang
" Yes, I did, quite a lot.",ang
 Mind your own business.,ang
 You're quite insufferable.  I expected it's because you're drunk.,ang
 You always had a weak head.,ang
" On the contrary, a child of two could get violently drunk on only one glass of brandy.",ang
" Oh, shut up.",ang
" Not very funny, dear.  You'd better have some more brandy.",ang
 Why?,ang
 There aren't any people upstairs.  It's a photographer's studio.,ang
 They're away in Tunis.,xxx
" Turn it on again, please.",ang
" Very well, if you insist on being boorish and idiotic.",ang
 Go away.  Go away.  I hate you.,ang
 You are far too temperamental.  Try to control yourself.,ang
 We swapped. Listen.,neu
" Listen, indeed.  I am sick and tired of listening to you, you damn sadistic bully.",ang
 Stop.,ang
 Stop.  I hate you.  Do you hear me? You're conceited and overbearing and utterly impossible.,ang
" This is the end.  Do you understand, the end?  Finally and forever.",ang
" Oh, yes, I am.",ang
" Let go of me.  You're a cruel fiend and I hate and loath you.  Thank God, I discovered in time what you're really like.",ang
 Marry you again? Huh.,ang
" Never, never, never.  I'd rather die in torment. Beast brute.",ang
 Swine.,ang
" That was a rouser, wasn't it?",xxx
 I didn't hit you very hard.,neu
 I shall never forget his face.,xxx
 We were very much younger then.,xxx
" As a matter of fact, the real cause of that row was Peter Burden.",fru
 I knew nothing of the sort.  You took presents from him.,fru
" I remember it well, bristling with diamonds in the worst possible taste.",xxx
 You went out of your way to torture me over Peter Burden.,fru
" You must admit that he was in love with you, wasn't he?",ang
 Line?,neu
 You let him kiss you.  You said you did.,ang
 What of it?,ang
 What about me?,ang
" That's a nice point of view, I must say.",ang
 So am I; bored stiff.,ang
 You want some brandy?,xxx
" I'll have a little myself, I think.",fru
" No particular reason.  Anyhow, they were very small ones.",fru
 You can hardly call three liquor glasses in a whole evening going on and on and on.,fru
 You needn't be so grand just because you don't happen to want any at the moment.,fru
" Really, Amanda",ang
 Nothing.,ang
" Going out somewhere, my dear?",ang
 Oh.  That reply has broken my heart.,fru
" As a matter of fact, that's perfectly true.",ang
" Yes, it is.",ang
 Line?,neu
 It's a pity you didn't have any more brandy.  It might have made you a little less disagreeable.,ang
 Line?,neu
" Snap.  Oh, snap, snap, snap, like a little adder.",ang
